Szervezet_neve_Gazdaság- és Társadalomtudományi Kar;Szervezet_neve_Gépészmérnöki Kar;Szervezet_neve_Közlekedésmérnöki és Járműmérnöki Kar;Szervezet_neve_Természettudományi Kar;Szervezet_neve_Vegyészmérnöki és Biomérnöki Kar;Szervezet_neve_Villamosmérnöki és Informatikai Kar;Szervezet_neve_Építészmérnöki Kar;Szervezet_neve_Építőmérnöki Kar;ks_helye_Egyéb;ks_helye_Főváros;ks_helye_Nagyváros (megyei jogú);allamilag_tamogatott;re_enrolled;nem_ferfi;verseny;felvi_osszes_skalazott;Hozott/Tanulmányi_pontszám;Szerzett/Érettségi_pontsz;tobblet_skalazott;idegen_nyelv;magyar nyelv és irodalom;matematika;történelem;választott_tárgy;idegen_nyelv_ks;magyar_irodalom_ks;magyar_nyelvtan_ks;matematika_ks;történelem_ks;választható_tantárgy_ks;nyv_pontok;erettsegi_ota_eltelt_évek;Statusz_vegzett
0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;-0.08943422946299162;0.5917805485860294;-0.1450360464205222;-0.8540478024935185;0.02089399323680967;1.297947013205785;0.3661193527206026;0.2454701336242991;-0.9583198092945187;0.3003251492676881;0.23826124025985895;0.11859263745235678;-0.6807393352119561;0.1645454576107262;0.2134442883970656;-0.41185269470114155;-0.2805298275797595;0
0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;-0.3079402564964386;0.7880384921630903;0.19053298011609102;-0.015827528632544493;-1.0919924621901234;-0.5945678131732239;0.02958858773009051;0.21684283599519966;0.019816861793734226;-0.6119615567751273;-1.0475337836242833;-0.9927811095243457;0.5729247852585805;1.5099450182128824;-0.1881838440239389;-0.011474761545238556;-0.1149925116495903;1
0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;-0.09776188128403517;-0.13399201471483743;0.47493039264015413;0.12484338890094861;-0.07455526256189572;0.16392852615187975;0.020552921367998803;0.22733174042941173;0.5176871708599656;-0.02359930362776198;-0.3813584636839089;0.5170723447386416;0.7658740782481558;-0.13982536916279767;0.32679194582859156;-0.5664565427232297;-0.10166094035079486;0
0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0.21706583486341524;-0.8233195814883765;0.14635497678444023;1.0058121443728505;0.4827348459077715;-0.443788455908317;1.072847620936967;-0.5178729717372507;0.3152789919483188;0.4888867686333161;-0.056347912935010076;0.45075757251810594;-0.16977877586029558;1.0227059568774894;0.7824688516777865;-0.40045643783838264;-0.050787278500978555;1
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.31646471776306456;-0.22337093418507867;0.07964520470598038;-0.13913582238713423;0.6810317545395012;-0.6802298502521326;0.03238975765447553;-0.3149052586886365;0.18198407167500055;0.37770732615879393;-0.04974061323199852;-0.40933731336305995;-0.3817518228104837;-0.060395426863338014;1.6217056881525977;-0.11158704735707446;0.24731290253355281;0
0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0.5164856067806629;-0.16558728649644033;0.3904142254312381;-0.4082068245626915;0.4473315192043747;0.3450123605465797;-0.2365391089939384;0.17460792645037918;0.2956239115476049;0.042932255910443425;-0.16280920150082392;0.7784156938940677;-0.4725901023105848;-0.0414688059113253;0.9048258413617495;-0.02496593953606024;-1.5777474670529852;0
0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-0.052210788462377526;-0.23664269962854367;0.605766822868664;-0.243246456181749;0.584307216826902;-0.4995835500133561;0.06692663387272814;-0.029254592729195738;-0.6417041426989881;0.22028970782016685;-0.3962906240383453;-0.34578579554523436;-0.6430671990826414;0.6476397944353021;-0.4886060594763773;0.0795165415612389;0.06496564830083819;0
0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;-0.15115605096079232;-0.33368942163921333;-0.14017016319203385;-0.16478509534706176;0.5042747441862233;0.007831977188946815;-0.12096922015784717;0.2591306849334736;0.49492965533025984;0.8111610644891721;-0.2926834750037141;0.1816255238611906;1.0086235622624855;0.018954104774546524;-0.4514348532272298;-0.26112340409605106;0.8241893442143151;0
0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0.015601933074735615;-0.7400273440600973;0.19927648764023648;-0.046528322660187825;0.43754086408695136;0.2787329421274473;-0.621677794844457;0.3386473263889064;1.0152914921506166;0.2807354653777727;0.348293477157354;0.8038877483861333;0.11299718690174018;0.1658350366507669;-0.1035103672677084;0.5534961100276299;1.0088691250586646;0
0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;-0.478679391475554;-0.4496423579598492;0.47231178203985225;0.12266730385690211;0.11715076396470547;-0.03882173518232286;-1.0437565044376318;-0.3350507176030462;0.703806336211366;0.3212608914775203;-0.9064513463094542;-0.9738095772224135;-0.2536907732020433;0.2718388962808802;0.334754238030126;0.7104585873992553;-0.06920746832482386;0
0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0.5701070558000103;0.019409766110006492;-0.01097128676659899;0.6887233072443265;0.7415856663739493;0.04971524501911064;-0.3475651419755423;-0.8512795512496013;0.32973050155570915;1.1444646060329766;1.518460478773321;0.10771723115442453;0.2898679729511897;0.7865053802414899;-0.5065896629673986;0.6093132010895036;0.014094523154846952;1
0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;-0.254166120873863;0.6427988632148182;0.23341627347455304;-0.4507355659225342;0.5796572560164517;-0.8198133576356053;1.7505137998961733;0.1674821454152683;-0.15124993251677232;-0.7776804920589956;-0.5791478051536306;0.33741295930649556;0.161512954832088;0.3419582064838628;0.2616506799637522;1.025406745192346;0.3154019589645695;1
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;-0.5378480679293067;0.4322929774903573;-0.9169357828564946;-0.08926663993073032;0.36390205916964413;-0.08679330804363798;-0.8306349767395113;0.5494721178994156;0.5107552171061576;-1.4605817836442152;0.11533340151514133;0.43875988268501487;1.029358181366891;-0.7824756687095022;-0.026101537244744313;0.0029145316975819364;0.0802657197104593;0
